id x y z
1 -50 -50 30 
2 -150 -50 30
3 -50 -150 30
4 -150 -150 30
5 -50 -50 130
6 -150 -50 130
7 -50 -150 130
8 -150 -150 130
9 150 250 1800 
10 250 250 1800
11 150 350 1800
12 250 350 1800
13 150 250 1850
14 250 250 1850
15 150 350 1850
16 250 350 1850
17 50 50 200 
18 150 50 200
19 50 150 200
20 150 150 200
21 50 50 300
22 150 50 300
23 50 150 300
24 150 150 300
id1 id2
1 2
1 3
2 4
3 4
1 5
2 6
3 7
4 8
5 6
5 7
6 8
7 8
9 10
9 11
10 12
11 12
9 13
10 16
11 15
12 16
13 14
13 15
14 16
15 16
17 18
17 19
18 20
19 20
17 21
18 22
19 23
20 24
21 22
21 23
22 24
23 24
