id x y z
1 50 50 30 
2 150 50 30
3 50 150 30
4 150 150 30
5 50 50 30
6 150 50 30
7 50 150 30
8 150 150 30
9 150 250 80 
10 250 250 80
11 150 350 80
12 250 350 80
13 150 250 80
14 250 250 80
15 150 350 80
16 250 350 80
17 70 70 50 
18 170 70 50
19 70 170 50
20 170 170 50
21 70 70 50
22 170 70 50
23 70 170 50
24 170 170 50
id1 id2
1 2 4 3
5 6 8 7
1 2 6 5
3 4 8 7
1 5 7 3 
2 6 8 4
9 10 12 11
13 14 16 15
9 10 14 13
11 12 16 15
9 13 15 11 
10 14 16 12
17 18 20 19
21 22 24 23
17 18 22 21
19 20 24 23
17 21 23 19 
18 22 24 20
