id x y z
1 50 50 30 
2 150 50 30
3 50 150 30
4 150 150 30
5 50 50 130
6 150 50 130
7 50 150 130
8 150 150 130
9 50 151 30
10 150 151 30
11 50 151 130
12 150 151 130
13 50 49 30 
14 150 49 30
15 50 49 130
16 150 49 130
17 49 50 30 
18 49 50 130
19 49 150 130
20 49 150 30
21 151 50 30
22 151 50 130
23 151 150 130
24 151 150 30
25 250 50 30 
26 350 50 30
27 250 150 30
28 350 150 30
29 250 50 130
30 350 50 130
31 250 150 130
32 350 150 130
33 250 151 30
34 350 151 30
35 250 151 130
36 350 151 130
37 250 49 30 
38 350 49 30
39 250 49 130
40 350 49 130
41 249 50 30 
42 249 50 130
43 249 150 130
44 249 150 30
45 351 50 30
46 351 50 130
47 351 150 130
48 351 150 30
id1 id2
1 2 4 3
5 6 8 7
13 14 16 15
9 10 12 11
17 18 19 20
21 22 23 24
25 26 28 27
29 30 32 31
37 38 40 39
33 34 36 35
41 42 43 44
45 46 47 48
